N,U_over_J,Qbar_L,Qbar_R,Qbar_R_over_Qbar_L
5,0,1.000000,1.000000,1.000000
5,1,0.908575,0.973877,1.071873
5,2,0.819252,0.950388,1.160067
5,4,0.751461,0.928732,1.235902
5,8,0.785980,0.751961,0.956717
5,16,0.651243,0.595122,0.913825
5,20,0.575688,0.575807,1.000207
5,28,0.976391,0.448871,0.459725
5,30,0.880470,0.874888,0.993660
5,36,0.600021,0.965875,1.609736
5,38,0.779826,0.959901,1.230916
5,40,0.993605,0.982160,0.988482
5,50,0.996122,0.996421,1.000300
6,0,1.000000,1.000000,1.000000
6,1,0.895476,0.963390,1.075841
6,2,0.804918,0.926113,1.150568
6,4,0.747028,0.872555,1.168036
6,8,0.755607,0.694702,0.919397
6,16,0.637665,0.563210,0.883238
6,20,0.554283,0.559130,1.008745
6,28,0.947352,0.404050,0.426504
6,30,0.859462,0.845465,0.983714
6,36,0.512607,0.960165,1.873100
6,38,0.707308,0.958561,1.355224
6,40,0.987830,0.982560,0.994665
6,50,0.996181,0.994857,0.998671
7,0,1.000000,1.000000,1.000000
7,1,0.886511,0.952724,1.074689
7,2,0.801415,0.902719,1.126406
7,4,0.747131,0.828373,1.108739
7,8,0.731532,0.649310,0.887603
7,16,0.594833,0.532658,0.895475
7,20,0.522410,0.525690,1.006277
7,28,0.894559,0.359502,0.401876
7,30,0.830266,0.830718,1.000545
7,36,0.510615,0.956983,1.874175
7,38,0.665838,0.955448,1.434956
7,40,0.981865,0.981277,0.999401
7,50,0.996349,0.991705,0.995339
