band,gamma0_over_pi,U_over_J,t_over_T,n_j0,d_j0
lower,1.2,0,0,0,0
lower,1.2,0,0.5,0.024376,0.000148
lower,1.2,0,1,0.004810,0.000006
lower,1.2,0,1.5,0.008271,0.000017
lower,1.2,0,2,0.006398,0.000010
lower,1.2,0,3,0.005298,0.000007
lower,1.2,4,0,0,0
lower,1.2,4,0.5,0.018519,0.004653
lower,1.2,4,1,0.003176,0.000205
lower,1.2,4,1.5,0.000674,0.000012
lower,1.2,4,2,0.000235,0.000002
lower,1.2,4,3,0.000358,0.000011
lower,1.2,8,0,0,0
lower,1.2,8,0.5,0.044960,0.019829
lower,1.2,8,1,0.008151,0.001522
lower,1.2,8,1.5,0.005123,0.000272
lower,1.2,8,2,0.004414,0.000120
lower,1.2,8,3,0.005096,0.000028
middle,0.8,0,0,0,0
middle,0.8,0,0.5,0.001304,0.000000
middle,0.8,0,1,0.004871,0.000006
middle,0.8,0,1.5,0.009264,0.000021
middle,0.8,0,2,0.007210,0.000013
middle,0.8,0,3,0.006156,0.000009
middle,0.8,4,0,0,0
middle,0.8,4,0.5,0.005002,0.000025
middle,0.8,4,1,0.203466,0.000032
middle,0.8,4,1.5,0.006231,0.000069
middle,0.8,4,2,0.092746,0.000001
middle,0.8,4,3,0.082276,0.000009
middle,0.8,8,0,0,0
middle,0.8,8,0.5,0.016998,0.000115
middle,0.8,8,1,0.152857,0.000571
middle,0.8,8,1.5,0.008215,0.000410
middle,0.8,8,2,0.055466,0.000089
middle,0.8,8,3,0.030122,0.000120
upper,0.4,0,0,0,0
upper,0.4,0,0.5,0.001820,0.000001
upper,0.4,0,1,0.011711,0.000035
upper,0.4,0,1.5,0.005186,0.000007
upper,0.4,0,2,0.006727,0.000011
upper,0.4,0,3,0.005184,0.000007
upper,0.4,4,0,0,0
upper,0.4,4,0.5,0.592146,0.000290
upper,0.4,4,1,0.188139,0.000344
upper,0.4,4,1.5,0.088659,0.000016
upper,0.4,4,2,0.057120,0.000107
upper,0.4,4,3,0.016633,0.000016
upper,0.4,8,0,0,0
upper,0.4,8,0.5,0.691934,0.000127
upper,0.4,8,1,0.158087,0.001171
upper,0.4,8,1.5,0.020846,0.000019
upper,0.4,8,2,0.014144,0.000002
upper,0.4,8,3,0.003342,0.000006
