U_over_J,t_over_T,E_per_particle_over_J,D
0,0,-0.006339,-0.000000
0,0.5,-0.001611,0.862348
0,1,0.000477,0.806174
0,1.5,0.009503,0.989561
0,2,0.004025,1.134970
0,2.5,-0.007995,1.237150
0,3,-0.005501,1.233780
2,0,-0.006339,0.000000
2,0.5,1.852400,2.193400
2,1,0.694577,1.548560
2,1.5,0.296019,1.056680
2,2,-0.129755,0.879269
2,2.5,-0.579001,0.762391
2,3,-0.783800,0.683438
4,0,-0.006339,0.000000
4,0.5,3.401586,3.219830
4,1,0.913790,2.058250
4,1.5,0.327989,1.213040
4,2,-0.381341,1.017330
4,2.5,-1.131134,0.858147
4,3,-1.466829,0.755417
8,0,-0.006339,0.000000
8,0.5,3.703400,3.326880
8,1,0.772627,2.444830
8,1.5,0.149019,1.789050
8,2,-0.603814,1.470600
8,2.5,-1.349421,1.200740
8,3,-1.876929,0.969158
16,0,-0.006339,0.000000
16,0.5,3.566929,2.355100
16,1,3.369057,2.329460
16,1.5,3.441071,2.159580
16,2,2.770657,1.954720
16,2.5,2.662714,1.788010
16,3,2.168871,1.617930
28,0,-0.006339,0.000000
28,0.5,1.171853,1.013980
28,1,3.536714,1.131320
28,1.5,4.782129,1.234580
28,2,4.561243,1.162840
28,2.5,4.553000,1.082350
28,3,4.447371,1.012690
50,0,-0.006339,0.000000
50,0.5,0.023760,0.022094
50,1,0.066156,0.018374
50,1.5,0.067139,0.018341
50,2,0.069253,0.018013
50,2.5,0.010089,0.017567
50,3,-0.064128,0.017404
